song_id,title,writer_id,etl_date
1,Starlight (Draft),101,1/1/2023
1,Starlight,101,6/1/2023
2,Moon Walk,101,1/1/2023
3,Sun Rays,101,1/1/2023
4,Solar Flare,102,2/15/2023
5,Midnight Pulse,103,1/10/2023
6,Static Dreams (Original),103,1/10/2023
6,Static Dreams,103,5/20/2023
7,Shadow Gallery,103,6/1/2023
8,Vapor Trail,104,1/1/2023
9,Crystal City,104,2/1/2023
10,Neon Sky,104,3/1/2023
11,Digital Rain,104,4/1/2023
12,Cyber Sunset,104,5/1/2023
13,Nomad Soul,105,1/1/2023
14,Desert Wind,105,2/1/2023
15,Oasis,105,3/1/2023
16,Mirage,105,4/1/2023
17,Sandstorm,105,5/1/2023
18,Dune,105,6/1/2023
19,Horizon,105,7/1/2023
20,Final Frontier,105,8/1/2023
